Date,Package,Title
2/16/20,easyPSID,"Reading, Formatting, and Organizing the Panel Study of Income Dynamics (PSID)"
2/16/20,frequencyConnectedness,Spectral Decomposition of Connectedness Measures
2/16/20,ggm,Graphical Markov Models with Mixed Graphs
2/16/20,inlabru,Spatial Inference using Integrated Nested Laplace Approximation
2/16/20,netchain,Inferring Causal Effects on Collective Outcomes under Interference
2/16/20,overdisp,Overdispersion in Count Data Multiple Regression Analysis
2/16/20,pcts,Periodically Correlated and Periodically Integrated Time Series
2/16/20,texPreview,Compile and Preview Snippets of 'LaTeX'
2/16/20,tidymodels,Easily Install and Load the 'Tidymodels' Packages
2/16/20,xpose.nlmixr,Graphical Diagnostics for Pharmacometric Models: Extension to 'nlmixr'
2/15/20,arsenal,An Arsenal of 'R' Functions for Large-Scale Statistical Summaries
2/15/20,blockmodeling,Generalized and Classical Blockmodeling of Valued Networks
2/15/20,CENFA,Climate and Ecological Niche Factor Analysis
2/15/20,forestChange,Computing Essential Biodiversity Variables from Global Forest Change Data
2/15/20,gimme,Group Iterative Multiple Model Estimation
2/15/20,mplot,Graphical Model Stability and Variable Selection Procedures
2/15/20,QRM,Provides R-Language Code to Examine Quantitative Risk Management Concepts
2/15/20,qvcalc,Quasi Variances for Factor Effects in Statistical Models
2/15/20,remotes,"R Package Installation from Remote Repositories, Including 'GitHub'"
2/15/20,RGoogleFit,R Interface to Google Fit API
2/15/20,sisal,Sequential Input Selection Algorithm
2/15/20,svgPanZoom,R 'Htmlwidget' to Add Pan and Zoom to Almost any R Graphic
2/15/20,wiesbaden,Access Databases from the Federal Statistical Office of Germany
2/15/20,wrassp,Interface to the 'ASSP' Library
2/14/20,basefun,Infrastructure for Computing with Basis Functions
2/14/20,BBRecapture,Bayesian Behavioural Capture-Recapture Models
2/14/20,bcROCsurface,Bias-Corrected Methods for Estimating the ROC Surface of Continuous Diagnostic Tests
2/14/20,DiscreteFDR,Multiple Testing Procedures with Adaptation for Discrete Tests
2/14/20,EMA,Easy Microarray Data Analysis
2/14/20,humanleague,Synthetic Population Generator
2/14/20,memisc,Management of Survey Data and Presentation of Analysis Results
2/14/20,normalp,Routines for Exponential Power Distribution
2/14/20,R.methodsS3,S3 Methods Simplified
2/14/20,rcosmo,Cosmic Microwave Background Data Analysis
2/14/20,riceidconverter,Convert Biological ID from RAP or MSU to SYMBOL for Oryza Sativa
2/14/20,rmonad,A Monadic Pipeline System
2/14/20,slickR,Create Interactive Carousels with the JavaScript 'Slick' Library
2/14/20,variables,Variable Descriptions
2/13/20,ade4,Analysis of Ecological Data: Exploratory and Euclidean Methods in Environmental Sciences
2/13/20,AMCP,A Model Comparison Perspective
2/13/20,AsyK,Kernel Density Estimation and Selection of Optimum Bandwidth
2/13/20,bioC.logs,BioConductor Package Downloads Stats
2/13/20,bssn,Birnbaum-Saunders Model
2/13/20,Buddle,A Deep Learning for Statistical Classification and Regression Analysis with Random Effects
2/13/20,cheddar,Analysis and Visualisation of Ecological Communities
2/13/20,clpAPI,R Interface to C API of COIN-or Clp
2/13/20,DTDA.cif,"Doubly Truncated Data Analysis, Cumulative Incidence Functions"
2/13/20,DynaRankR,Inferring Longitudinal Dominance Hierarchies
2/13/20,ecespa,Functions for Spatial Point Pattern Analysis
2/13/20,eiPack,Ecological Inference and Higher-Dimension Data Management
2/13/20,EpiDynamics,Dynamic Models in Epidemiology
2/13/20,flying,Simulation of Bird Flight Range
2/13/20,gausscov,The Gaussian Covariate Method for Variable Selection
2/13/20,gdalUtils,Wrappers for the Geospatial Data Abstraction Library (GDAL) Utilities
2/13/20,geodiv,Methods for Calculating Gradient Surface Metrics
2/13/20,geojsonlint,Tools for Validating 'GeoJSON'
2/13/20,ggdag,Analyze and Create Elegant Directed Acyclic Graphs
2/13/20,ggnewscale,Multiple Fill and Colour Scales in 'ggplot2'
2/13/20,glpkAPI,R Interface to C API of GLPK
2/13/20,hurricaneexposure,Explore and Map County-Level Hurricane Exposure in the United States
2/13/20,icensBKL,"Accompanion to the Book on Interval Censoring by Bogaerts, Komarek, and Lesaffre"
2/13/20,imagefx,Extract Features from Images
2/13/20,jmotif,"Time Series Analysis Toolkit Based on Symbolic Aggregate Discretization, i.e. SAX"
2/13/20,kernelboot,Smoothed Bootstrap and Random Generation from Kernel Densities
2/13/20,learnr,Interactive Tutorials for R
2/13/20,mlt.docreg,Most Likely Transformations: Documentation and Regression Tests
2/13/20,ncvreg,Regularization Paths for SCAD and MCP Penalized Regression Models
2/13/20,paramGUI,A Shiny GUI for some Parameter Estimation Examples
2/13/20,picante,Integrating Phylogenies and Ecology
2/13/20,pooling,Fit Poolwise Regression Models
2/13/20,qmethod,Analysis of Subjective Perspectives Using Q Methodology
2/13/20,rbmn,Handling Linear Gaussian Bayesian Networks
2/13/20,robmed,(Robust) Mediation Analysis
2/13/20,scalpel,Processes Calcium Imaging Data
2/13/20,shinyKnobs,A Collection of Knob Inputs for 'shiny'
2/13/20,SiZer,Significant Zero Crossings
2/13/20,text2speech,Text to Speech
2/13/20,treenomial,Comparison of Trees using a Tree Defining Polynomial
2/13/20,wallace,A Modular Platform for Reproducible Modeling of Species Niches and Distributions
2/12/20,AMORE,Artificial Neural Network Training and Simulating
2/12/20,coRanking,Co-Ranking Matrix
2/12/20,DarkDiv,Estimating Dark Diversity and Site-Specific Species Pools
2/12/20,dataPreparation,Automated Data Preparation
2/12/20,DistributionOptimization,Distribution Optimization
2/12/20,DRR,Dimensionality Reduction via Regression
2/12/20,EBPRS,Derive Polygenic Risk Score Based on Emprical Bayes Theory
2/12/20,EmbedSOM,Fast Embedding Guided by Self-Organizing Map
2/12/20,ergmito,Exponential Random Graph Models for Small Networks
2/12/20,FastCUB,Fast EM and Best-Subset Selection for CUB Models for Rating Data
2/12/20,FCSlib,A Collection of Fluorescence Fluctuation Spectroscopy Methods
2/12/20,ggnetwork,Geometries to Plot Networks with 'ggplot2'
2/12/20,JointAI,Joint Analysis and Imputation of Incomplete Data
2/12/20,manymodelr,Build and Tune Several Models
2/12/20,MLeval,Machine Learning Model Evaluation
2/12/20,multipleNCC,Weighted Cox-Regression for Nested Case-Control Data
2/12/20,NMF,Algorithms and Framework for Nonnegative Matrix Factorization (NMF)
2/12/20,RgoogleMaps,Overlays on Static Maps
2/12/20,Rraven,Connecting R and 'Raven' Sound Analysis Software
2/12/20,Runuran,R Interface to the 'UNU.RAN' Random Variate Generators
2/12/20,simsem,SIMulated Structural Equation Modeling
2/12/20,SubTite,Subgroup Specific Optimal Dose Assignment
2/12/20,Umatrix,Visualization of Structures in High-Dimensional Data
2/12/20,Umoments,Unbiased Central Moment Estimates
2/12/20,WaterML,Fetch and Analyze Data from 'WaterML' and 'WaterOneFlow' Web Services
2/12/20,weights,Weighting and Weighted Statistics
2/12/20,worldmet,Import Surface Meteorological Data from NOAA Integrated Surface Database (ISD)
2/11/20,ActFrag,Activity Fragmentation Metrics Extracted from Minute Level Activity Data
2/11/20,adiv,Analysis of Diversity
2/11/20,bayesSurv,Bayesian Survival Regression with Flexible Error and Random Effects Distributions
2/11/20,CSTools,Assessing Skill of Climate Forecasts on Seasonal-to-Decadal Timescales
2/11/20,dBlockmodeling,"Deterministic Blockmodeling of Signed, One-Mode and Two-Mode Networks"
2/11/20,DtD,Distance to Default
2/11/20,dynr,Dynamic Modeling in R
2/11/20,eurostat,Tools for Eurostat Open Data
2/11/20,geocacheR,Tools for Geocaching
2/11/20,geotopbricks,An R Plug-in for the Distributed Hydrological Model GEOtop
2/11/20,gMWT,Generalized Mann-Whitney Type Tests
2/11/20,HDCurves,Hierarchical Derivative Curve Estimation
2/11/20,ks,Kernel Smoothing
2/11/20,KSgeneral,Computing P-Values of the K-S Test for (Dis)Continuous Null Distribution
2/11/20,micEconSNQP,Symmetric Normalized Quadratic Profit Function
2/11/20,mnonr,A Generator of Multivariate Non-Normal Random Numbers
2/11/20,mppR,Multi-Parent Population QTL Analysis
2/11/20,mvmesh,Multivariate Meshes and Histograms in Arbitrary Dimensions
2/11/20,mvtmeta,Multivariate Meta-Analysis
2/11/20,neurocInstall,'Neuroconductor' Installer
2/11/20,pcaL1,L1-Norm PCA Methods
2/11/20,PhylogeneticEM,Automatic Shift Detection using a Phylogenetic EM
2/11/20,PML,Penalized Multi-Band Learning for Circadian Rhythm Analysis Using Actigraphy
2/11/20,psica,Decision Tree Analysis for Probabilistic Subgroup Identification with Multiple Treatments
2/11/20,RInSp,R Individual Specialization (RInSp)
2/11/20,robCompositions,Compositional Data Analysis
2/11/20,rqdatatable,'rquery' for 'data.table'
2/11/20,rstan,R Interface to Stan
2/11/20,rstanarm,Bayesian Applied Regression Modeling via Stan
2/11/20,sdcMicro,Statistical Disclosure Control Methods for Anonymization of Data and Risk Estimation
2/11/20,sequence,Analysis of Sequences of Events
2/11/20,sismonr,Simulation of in Silico Multi-Omic Networks
2/11/20,spGARCH,Spatial ARCH and GARCH Models (spGARCH)
2/11/20,spgwr,Geographically Weighted Regression
2/11/20,spocc,Interface to Species Occurrence Data Sources
2/11/20,Tendril,Compute and Display Tendril Plots
2/11/20,VALERIE,Visualising Splicing at Single-Cell Resolution
2/11/20,WeightIt,Weighting for Covariate Balance in Observational Studies
2/10/20,beakr,A Minimalist Web Framework for R
2/10/20,bit,A Class for Vectors of 1-Bit Booleans
2/10/20,ChainLadder,Statistical Methods and Models for Claims Reserving in General Insurance
2/10/20,commonsMath,JAR Files of the Apache Commons Mathematics Library
2/10/20,crmn,CCMN and Other Normalization Methods for Metabolomics Data
2/10/20,dMod,Dynamic Modeling and Parameter Estimation in ODE Models
2/10/20,Ecdat,Data Sets for Econometrics
2/10/20,geoR,Analysis of Geostatistical Data
2/10/20,greport,Graphical Reporting for Clinical Trials
2/10/20,kinship2,Pedigree Functions
2/10/20,marketr,Tidy Calculation of Marketing Metrics Plus Quick Analysis
2/10/20,misclassGLM,Computation of Generalized Linear Models with Misclassified Covariates Using Side Information
2/10/20,mlr3data,Collection of Machine Learning Data Sets for 'mlr3'
2/10/20,modeldb,Fits Models Inside the Database
2/10/20,olsrr,Tools for Building OLS Regression Models
2/10/20,PGRdup,Discover Probable Duplicates in Plant Genetic Resources Collections
2/10/20,rncl,An Interface to the Nexus Class Library
2/10/20,rscontract,Generic implementation of the 'RStudio' connections contract
2/10/20,sensR,Thurstonian Models for Sensory Discrimination
2/10/20,Spectrum,Fast Adaptive Spectral Clustering for Single and Multi-View Data
2/10/20,tidypredict,Run Predictions Inside the Database
2/10/20,tidyREDCap,Helper Functions for Working with REDCap Data
2/10/20,tis,Time Indexes and Time Indexed Series
2/10/20,wpp2017,World Population Prospects 2017
2/9/20,BLCOP,Black-Litterman and Copula Opinion Pooling Frameworks
2/9/20,cattonum,Encode Categorical Features
2/9/20,cdlei,Cause-Deleted Life Expectancy Improvement Procedure
2/9/20,cgraph,Computational Graphs
2/9/20,gazepath,Parse Eye-Tracking Data into Fixations
2/9/20,gganimate,A Grammar of Animated Graphics
2/9/20,ggrisk,Risk Score Plot for Cox Regression
2/9/20,ISRaD,Tools and Data for the International Soil Radiocarbon Database
2/9/20,MediaNews,Media News Extraction for Text Analysis
2/9/20,MultiPhen,A Package to Test for Multi-Trait Association
2/9/20,neverhpfilter,An Alternative to the Hodrick-Prescott Filter
2/9/20,osmdata,Import 'OpenStreetMap' Data as Simple Features or Spatial Objects
2/9/20,pedometrics,Miscellaneous Pedometric Tools
2/9/20,pense,Penalized Elastic Net S/MM-Estimator of Regression
2/9/20,ppclust,Probabilistic and Possibilistic Cluster Analysis
2/9/20,prcr,Person-Centered Analysis
2/9/20,prnsamplr,Permanent Random Number Sampling
2/9/20,processx,Execute and Control System Processes
2/9/20,rcompanion,Functions to Support Extension Education Program Evaluation
2/9/20,RecordTest,Inference Tools Based on Record Statistics
2/9/20,SimRVPedigree,Simulate Pedigrees Ascertained for a Rare Disease
2/9/20,soobench,Single Objective Optimization Benchmark Functions
2/9/20,trimcluster,Cluster Analysis with Trimming
2/9/20,variosig,Testing Spatial Dependence Using Empirical Variogram
2/8/20,ari,Automated R Instructor
2/8/20,CORElearn,"Classification, Regression and Feature Evaluation"
2/8/20,coxsei,Fitting a CoxSEI Model
2/8/20,EML,Read and Write Ecological Metadata Language Files
2/8/20,inaparc,Initialization Algorithms for Partitioning Cluster Analysis
2/8/20,joineR,Joint Modelling of Repeated Measurements and Time-to-Event Data
2/8/20,kpeaks,Determination of K Using Peak Counts of Features for Clustering
2/8/20,LinRegInteractive,Interactive Interpretation of Linear Regression Models
2/8/20,madness,Automatic Differentiation of Multivariate Operations
2/8/20,pavo,"Perceptual Analysis, Visualization and Organization of Spectral Colour Data"
2/8/20,rco,The R Code Optimizer
2/8/20,repo,A Data-Centered Data Flow Manager
2/8/20,riskRegression,Risk Regression Models and Prediction Scores for Survival Analysis with Competing Risks
2/8/20,rugarch,Univariate GARCH Models
2/8/20,selectapref,Analysis of Field and Laboratory Foraging
2/8/20,SharpeR,Statistical Significance of the Sharpe Ratio
2/8/20,SHELF,Tools to Support the Sheffield Elicitation Framework
2/7/20,add2ggplot,Add to 'ggplot2'
2/7/20,BayesReversePLLH,Fits the Bayesian Piecewise Linear Log-Hazard Model
2/7/20,carbonate,Interact with 'carbon.js'
2/7/20,catdata,Categorical Data
2/7/20,connections,Integrates with the 'RStudio' Connections Pane and 'pins'
2/7/20,conquestr,An R Front End for 'ACER ConQuest'
2/7/20,dbplot,Simplifies Plotting Data Inside Databases
2/7/20,GJRM,Generalised Joint Regression Modelling
2/7/20,googleCloudVisionR,"Access to the 'Google Cloud Vision' API for Image Recognition, OCR and Labeling"
2/7/20,groc,Generalized Regression on Orthogonal Components
2/7/20,intkrige,A Numerical Implementation of Interval-Valued Kriging
2/7/20,jrc,Exchange Commands Between R and 'JavaScript'
2/7/20,kequate,The Kernel Method of Test Equating
2/7/20,lcyanalysis,Stock Data Analysis Functions
2/7/20,localICE,Local Individual Conditional Expectation
2/7/20,lodi,Limit of Detection Imputation for Single-Pollutant Models
2/7/20,mixtools,Tools for Analyzing Finite Mixture Models
2/7/20,nat,NeuroAnatomy Toolbox for Analysis of 3D Image Data
2/7/20,nlrx,"Setup, Run and Analyze 'NetLogo' Model Simulations from 'R' via 'XML'"
2/7/20,outbreaker2,Bayesian Reconstruction of Disease Outbreaks by Combining Epidemiologic and Genomic Data
2/7/20,permutations,The Symmetric Group: Permutations of a Finite Set
2/7/20,phyloseqGraphTest,Graph-Based Permutation Tests for Microbiome Data
2/7/20,RMallow,Fit Multi-Modal Mallows' Models to Ranking Data
2/7/20,rmetasim,An Individual-Based Population Genetic Simulation Environment
2/7/20,rstudioapi,Safely Access the RStudio API
2/7/20,Rvcg,Manipulations of Triangular Meshes Based on the 'VCGLIB' API
2/7/20,salso,Sequentially-Allocated Latent Structure Optimization
2/7/20,sommer,Solving Mixed Model Equations in R
2/7/20,spatstat.utils,Utility Functions for 'spatstat'
2/7/20,svglite,An 'SVG' Graphics Device
2/7/20,tempdisagg,Methods for Temporal Disaggregation and Interpolation of Time Series
2/7/20,utiml,Utilities for Multi-Label Learning
2/6/20,adespatial,Multivariate Multiscale Spatial Analysis
2/6/20,AER,Applied Econometrics with R
2/6/20,analogue,Analogue and Weighted Averaging Methods for Palaeoecology
2/6/20,AzureVM,Virtual Machines in 'Azure'
2/6/20,Bayesiangammareg,Bayesian Gamma Regression: Joint Mean and Shape Modeling
2/6/20,bisque,Approximate Bayesian Inference via Sparse Grid Quadrature Evaluation (BISQuE) for Hierarchical Models
2/6/20,checkmate,Fast and Versatile Argument Checks
2/6/20,clere,Simultaneous Variables Clustering and Regression
2/6/20,coalitions,"Bayesian ""Now-Cast"" Estimation of Event Probabilities in Multi-Party Democracies"
2/6/20,cowsay,"Messages, Warnings, Strings with Ascii Animals"
2/6/20,danstat,R Client for the Statistics Denmark Databank API
2/6/20,dint,"A Toolkit for Year-Quarter, Year-Month and Year-Isoweek Dates"
2/6/20,errorlocate,Locate Errors with Validation Rules
2/6/20,evolqg,Tools for Evolutionary Quantitative Genetics
2/6/20,gaselect,Genetic Algorithm (GA) for Variable Selection from High-Dimensional Data
2/6/20,GeneNet,Modeling and Inferring Gene Networks
2/6/20,HaDeX,Analysis and Visualisation of Hydrogen/Deuterium Exchange Mass Spectrometry Data
2/6/20,hgm,Holonomic Gradient Method and Gradient Descent
2/6/20,HRM,High-Dimensional Repeated Measures
2/6/20,hypergate,Machine Learning of Hyperrectangular Gating Strategies for High-Dimensional Cytometry
2/6/20,imagine,"IMAGing engINEs, Tools for Application of Image Filters to Data Matrices"
2/6/20,knitr,A General-Purpose Package for Dynamic Report Generation in R
2/6/20,l0ara,Sparse Generalized Linear Model with L0 Approximation for Feature Selection
2/6/20,LaplacesDemon,Complete Environment for Bayesian Inference
2/6/20,lcars,LCARS Aesthetic for Shiny
2/6/20,longmemo,"Statistics for Long-Memory Processes (Book Jan Beran), and Related Functionality"
2/6/20,matahari,Spy on Your R Session
2/6/20,Matching,Multivariate and Propensity Score Matching with Balance Optimization
2/6/20,msma,Multiblock Sparse Multivariable Analysis
2/6/20,MTPS,Multi-Task Prediction using Stacking Algorithms
2/6/20,multimark,Capture-Mark-Recapture Analysis using Multiple Non-Invasive Marks
2/6/20,NetworkChange,Bayesian Package for Network Changepoint Analysis
2/6/20,np,Nonparametric Kernel Smoothing Methods for Mixed Data Types
2/6/20,NPflow,Bayesian Nonparametrics for Automatic Gating of Flow-Cytometry Data
2/6/20,onemapsgapi,R Wrapper for the 'OneMap.Sg API'
2/6/20,PerformanceAnalytics,Econometric Tools for Performance and Risk Analysis
2/6/20,PKconverter,The Parameter Converter of the Pharmacokinetic Models
2/6/20,PrevMap,Geostatistical Modelling of Spatially Referenced Prevalence Data
2/6/20,RandomFields,Simulation and Analysis of Random Fields
2/6/20,rawKS,Easily Get True-Positive Rate and False-Positive Rate and KS Statistic
2/6/20,RcppProgress,An Interruptible Progress Bar with OpenMP Support for C++ in R Packages
2/6/20,rDEA,Robust Data Envelopment Analysis (DEA) for R
2/6/20,rorcid,Interface to the 'Orcid.org' API
2/6/20,sampSurf,Sampling Surface Simulation for Areal Sampling Methods
2/6/20,searcher,Query Search Interfaces
2/6/20,spBayes,Univariate and Multivariate Spatial-Temporal Modeling
2/6/20,TestDesign,Optimal Test Design Approach to Fixed and Adaptive Test Construction
2/6/20,TreeSearch,Phylogenetic Tree Search Using Custom Optimality Criteria
2/6/20,tsutils,"Time Series Exploration, Modelling and Forecasting"
2/6/20,validatetools,Checking and Simplifying Validation Rule Sets
2/5/20,allestimates,Effect Estimates from All Models
2/5/20,assertr,Assertive Programming for R Analysis Pipelines
2/5/20,azuremlsdk,Interface to the 'Azure Machine Learning' 'SDK'
2/5/20,date,Functions for Handling Dates
2/5/20,emld,Ecological Metadata as Linked Data
2/5/20,Factoshiny,Perform Factorial Analysis from 'FactoMineR' with a Shiny Application
2/5/20,FSSF,Generate Fully-Sequential Space-Filling Designs Inside a Unit Hypercube
2/5/20,gamCopula,Generalized Additive Models for Bivariate Conditional Dependence Structures and Vine Copulas
2/5/20,GLDEX,Fitting Single and Mixture of Generalised Lambda Distributions (RS and FMKL) using Various Methods
2/5/20,GRANBase,Creating Continuously Integrated Package Repositories from Manifests
2/5/20,hierNet,A Lasso for Hierarchical Interactions
2/5/20,kergp,Gaussian Process Laboratory
2/5/20,laeken,Estimation of Indicators on Social Exclusion and Poverty
2/5/20,PAFway,Pairwise Association of Functional Annotations
2/5/20,pewdata,Reproducible Retrieval of Pew Research Center Datasets
2/5/20,r2pmml,Convert R Models to PMML
2/5/20,rpubs,Extract Code Block from Rpubs Article
2/5/20,rticles,Article Formats for R Markdown
2/5/20,serrsBayes,Bayesian Modelling of Raman Spectroscopy
2/5/20,SGB,Simplicial Generalized Beta Regression
2/5/20,shinyNotes,Shiny Module for Taking Free-Form Notes
2/5/20,simTargetCov,Data Transformation or Simulation with Empirical Covariance Matrix
2/5/20,SplitReg,Split Regularized Regression
2/5/20,stringb,Convenient Base R String Handling
2/5/20,surveysd,Survey Standard Error Estimation for Cumulated Estimates and their Differences in Complex Panel Designs
2/5/20,symmoments,Symbolic Central and Noncentral Moments of the Multivariate Normal Distribution
2/5/20,tolerance,Statistical Tolerance Intervals and Regions
2/5/20,tree.interpreter,Random Forest Prediction Decomposition and Feature Importance Measure
2/5/20,TRES,Tensor Regression with Envelope Structure and Three Generic Envelope Estimation Approaches
2/5/20,yuima,The YUIMA Project Package for SDEs
2/4/20,apcf,Adapted Pair Correlation Function
2/4/20,aroma.core,Core Methods and Classes Used by 'aroma.*' Packages Part of the Aroma Framework
2/4/20,arrayhelpers,Convenience Functions for Arrays
2/4/20,biclust,BiCluster Algorithms
2/4/20,bpnreg,Bayesian Projected Normal Regression Models for Circular Data
2/4/20,CAISEr,Comparison of Algorithms with Iterative Sample Size Estimation
2/4/20,emIRT,EM Algorithms for Estimating Item Response Theory Models
2/4/20,FactoInvestigate,Automatic Description of Factorial Analysis
2/4/20,fields,Tools for Spatial Data
2/4/20,filling,"Matrix Completion, Imputation, and Inpainting Methods"
2/4/20,fpc,Flexible Procedures for Clustering
2/4/20,fuzzySim,Fuzzy Similarity in Species Distributions
2/4/20,GRANCore,Classes and Methods for 'GRANBase'
2/4/20,ifaTools,Toolkit for Item Factor Analysis with 'OpenMx'
2/4/20,indicspecies,Relationship Between Species and Groups of Sites
2/4/20,leiden,R Implementation of Leiden Clustering Algorithm
2/4/20,MARSS,Multivariate Autoregressive State-Space Modeling
2/4/20,mime,Map Filenames to MIME Types
2/4/20,mistr,Mixture and Composite Distributions
2/4/20,PolynomF,Polynomials in R
2/4/20,pyMTurkR,A Client for the 'MTurk' Requester API
2/4/20,qqplotr,Quantile-Quantile Plot Extensions for 'ggplot2'
2/4/20,RclusTool,Graphical Toolbox for Clustering and Classification of Data Frames
2/4/20,RCSF,Airborne LiDAR Filtering Method Based on Cloth Simulation
2/4/20,RSSL,Implementations of Semi-Supervised Learning Approaches for Classification
2/4/20,tidygapminder,Easily Tidy Gapminder Datasets
2/4/20,tsDyn,Nonlinear Time Series Models with Regime Switching
2/3/20,AdaptGauss,Gaussian Mixture Models (GMM)
2/3/20,adehabitatHR,Home Range Estimation
2/3/20,bayesDP,Tools for the Bayesian Discount Prior Function
2/3/20,bbmle,Tools for General Maximum Likelihood Estimation
2/3/20,betareg,Beta Regression
2/3/20,BradleyTerry2,Bradley-Terry Models
2/3/20,coil,Contextualization and Evaluation of COI-5P Barcode Data
2/3/20,ConnMatTools,Tools for Working with Connectivity Data
2/3/20,DatabionicSwarm,Swarm Intelligence for Self-Organized Clustering
2/3/20,deldir,Delaunay Triangulation and Dirichlet (Voronoi) Tessellation
2/3/20,desctable,Produce Descriptive and Comparative Tables Easily
2/3/20,DivE,Diversity Estimator
2/3/20,Ecfun,Functions for Ecdat
2/3/20,gamlss,Generalised Additive Models for Location Scale and Shape
2/3/20,gamlss.add,Extra Additive Terms for Generalized Additive Models for Location Scale and Shape
2/3/20,gamlss.dist,Distributions for Generalized Additive Models for Location Scale and Shape
2/3/20,GMMBoost,Likelihood-Based Boosting for Generalized Mixed Models
2/3/20,gnm,Generalized Nonlinear Models
2/3/20,hexbin,Hexagonal Binning Routines
2/3/20,LCMCR,Bayesian Non-Parametric Latent-Class Capture-Recapture
2/3/20,LS2Wstat,A Multiscale Test of Spatial Stationarity for LS2W Processes
2/3/20,mapproj,Map Projections
2/3/20,MatchLinReg,Combining Matching and Linear Regression for Causal Inference
2/3/20,multicolor,Add Multiple Colors to your Console & RMarkdown Output
2/3/20,opusminer,OPUS Miner Algorithm for Filtered Top-k Association Discovery
2/3/20,phylosignal,Exploring the Phylogenetic Signal in Continuous Traits
2/3/20,pim,Fit Probabilistic Index Models
2/3/20,PMA,Penalized Multivariate Analysis
2/3/20,ProTrackR,Manipulate and Play 'ProTracker' Modules
2/3/20,psfmi,Prediction Model Selection and Performance Evaluation in Multiple Imputed Datasets
2/3/20,qgam,Smooth Additive Quantile Regression Models
2/3/20,QuantumOps,Performs Common Linear Algebra Operations Used in Quantum Computing and Implements Quantum Algorithms
2/3/20,RcmdrPlugin.FactoMineR,Graphical User Interface for FactoMineR
2/3/20,ribd,Pedigree-based Relatedness Coefficients
2/3/20,rivernet,"Read, Analyze and Plot River Networks"
2/3/20,RSelenium,R Bindings for 'Selenium WebDriver'
2/3/20,rstream,Streams of Random Numbers
2/3/20,rv,Simulation-Based Random Variable Objects
2/3/20,shinyjqui,'jQuery UI' Interactions and Effects for Shiny
2/3/20,shinySIR,Interactive Plotting for Mathematical Models of Infectious Disease Spread
2/3/20,telefit,Estimation and Prediction for Remote Effects Spatial Process Models
2/3/20,vampyr,Factor Analysis Controlling the Effects of Response Bias
2/3/20,vote,Election Vote Counting
2/3/20,xnet,Two-Step Kernel Ridge Regression for Network Predictions
2/3/20,ymlthis,"Write 'YAML' for 'R Markdown', 'bookdown', 'blogdown', and More"
2/2/20,basicMCMCplots,"Trace Plots, Density Plots and Chain Comparisons for MCMC Samples"
2/2/20,chron,Chronological Objects which can Handle Dates and Times
2/2/20,factset.analyticsapi.engines,'FactSet' Engines API Client
2/2/20,fastshap,Fast Approximate Shapley Values
2/2/20,gap,Genetic Analysis Package
2/2/20,groupedSurv,Efficient Estimation of Grouped Survival Models Using the Exact Likelihood Function
2/2/20,jsonlite,"A Robust, High Performance JSON Parser and Generator for R"
2/2/20,lacm,Latent Autoregressive Count Models
2/2/20,mapedit,Interactive Editing of Spatial Data in R
2/2/20,MKpower,Power Analysis and Sample Size Calculation
2/2/20,munsellinterpol,Interpolate Munsell Renotation Data from Hue/Chroma to CIE/RGB
2/2/20,newsmap,Semi-Supervised Model for Geographical Document Classification
2/2/20,odpc,One-Sided Dynamic Principal Components
2/2/20,regrrr,"Toolkit for Compiling, (Post-Hoc) Testing, and Plotting Regression Results"
2/2/20,RsqMed,Total Mediation Effect Size Measure (R-Squared Measure) under Moderate or High-Dimensional Mediator Settings
2/2/20,RWeka,R/Weka Interface
2/2/20,SpATS,Spatial Analysis of Field Trials with Splines
2/1/20,AWAPer,Catchment Area Weighted Daily Climate Data Anywhere in Australia
2/1/20,babette,Control 'BEAST2'
2/1/20,cdata,Fluid Data Transformations
2/1/20,descriptr,Generate Descriptive Statistics
2/1/20,directlabels,Direct Labels for Multicolor Plots
2/1/20,EPT,"Ensemble Patch Transform, Visualization and Decomposition"
2/1/20,popbio,Construction and Analysis of Matrix Population Models
2/1/20,ppcc,Probability Plot Correlation Coefficient Test
2/1/20,prioGene,Candidate Gene Prioritization for Non-Communicable Diseases Based on Functional Information
2/1/20,simplecolors,Access Color Names Using a Standardized Nomenclature
2/1/20,WeightedROC,"Fast, Weighted ROC Curves"
2/1/20,yaml,Methods to Convert R Data to YAML and Back
1/31/20,Actigraphy,Actigraphy Data Analysis
1/31/20,CircMLE,Maximum Likelihood Analysis of Circular Data
1/31/20,cld3,Google's Compact Language Detector 3
1/31/20,Counterfactual,Estimation and Inference Methods for Counterfactual Analysis
1/31/20,dfmta,Phase I/II Adaptive Dose-Finding Design for MTA
1/31/20,Distance,Distance Sampling Detection Function and Abundance Estimation
1/31/20,FcircSEC,Full Length Circular RNA Sequence Extraction and Classification
1/31/20,ICBayes,Bayesian Semiparametric Models for Interval-Censored Data
1/31/20,IGST,Informative Gene Selection Tool
1/31/20,lacunaritycovariance,Gliding Box Lacunarity and Other Metrics for 2D Random Closed Sets
1/31/20,lmeresampler,Bootstrap Methods for Nested Linear Mixed-Effects Models
1/31/20,markdownInput,Shiny Module for a Markdown Input with Result Preview
1/31/20,mlr3tuning,Tuning for 'mlr3'
1/31/20,multilinguer,Gentle Language Installer for R User
1/31/20,oncrawlR,Machine Learning for S.E.O
1/31/20,orf,Ordered Random Forests
